"maker","series","model","descripcion","referencia"
"Renault","RENAULT/LOGAN/BASICO","2016","CANALIZ.RADIADOR","6001547466"
"Renault","RENAULT/LOGAN/BASICO","2016","SOP.EMBLEMA DEL.","8200707433"
"Renault","RENAULT/DUSTER (HS)/BASICO","2013","CALCOMANIA DAKAR","240318101449749"
"CHEVROLET","SAIL","2017","Emblema Logo Marca Tapa Baul","9048300"
"CHEVROLET","SAIL","2017","Empaque Alojamiento Tapa Baul","90923470"
"CHEVROLET","SAIL","2017","Panel Trasero","9057796"
"CHEVROLET","SAIL","2017","Paragolpes Trasero","9063026"
"CHEVROLET","SAIL","2017","Stop Derecho","90765124"
"CHEVROLET","SAIL","2017","Stop Izquierdo","90765125"
"CHEVROLET","SAIL","2017","Tapa Baul","9005611"
"Ford","FORD/NEW FIESTA (CCH)/SE","2014","PROTEC.PUERTA DEL.D.","AE8Z5420200A"
"Chevrolet","CHEVROLET/ONIX/JOY(BJ4)/LTZ","2019","BOCEL PUERTA DEL.I.","52158748"
"Chevrolet","CHEVROLET/ONIX/JOY(BJ4)/LTZ","2019","BOCEL TRA.I.","52158750"
"Chevrolet","CHEVROLET/ONIX/JOY(BJ4)/LTZ","2019","COPA RIN DEL IZQ","240315121552665"
"Chevrolet","CHEVROLET/ONIX/JOY(BJ4)/LTZ","2019","PUERTA DEL.I.","52147889"
"Chevrolet","CHEVROLET/ONIX/JOY(BJ4)/LTZ","2019","PUERTA TRA.I.","52141403"
"Chevrolet","CHEVROLET/ONIX/JOY(BJ4)/LTZ","2019","SOP.D.PARAGOLPES DL.","52096966"
"Chevrolet","CHEVROLET/ONIX/JOY(BJ4)/LTZ","2019","SOP.I.PARAGOLPES DL.","52096969"
"Chevrolet","CHEVROLET/SPARK (RLC)/GT","2017","BOC.LUZ COND.DIURN.D","95238942"
"Chevrolet","CHEVROLET/SPARK (RLC)/GT","2017","BOCEL INF.PARAL A D.","42345004"
"Chevrolet","CHEVROLET/SPARK (RLC)/GT","2017","DEPOSITO FRENOS","42403500"
"Chevrolet","CHEVROLET/SPARK (RLC)/GT","2017","DEPOSITO LIMPIADORES","42344530"
"Chevrolet","CHEVROLET/SPARK (RLC)/GT","2017","PLACA INFORMATIVA","240314162613128"
"Chevrolet","CHEVROLET/SPARK (RLC)/GT","2017","SOP.DL.GUARDAFANGO D","42344550"
"Chevrolet","CHEVROLET/SPARK (RLC)/GT","2017","TUBO ACODADO","42555076"
"Chevrolet","CHEVROLET/SPARK (RLC)/GT","2017","TUBO DEP.LIMPIA.","42539417"
"Chevrolet","CHEVROLET/SPARK (RLC)/GT","2017","VIERTEAGUAS","42429269"
"Ford","FORD/ECOSPORT (BUA/CBW)/BASICO","2020","AIRBAG CABEZA D.","GN1Z58042D94A"
"Ford","FORD/ECOSPORT (BUA/CBW)/BASICO","2020","AIRBAG CABEZA I.","GN1Z58042D95A"
"Ford","FORD/ECOSPORT (BUA/CBW)/BASICO","2020","AIRBAG CONDUCTOR","GN1Z58043B13AB"
"Ford","FORD/ECOSPORT (BUA/CBW)/BASICO","2020","AIRBAG PASAJERO","GN1Z58044A74B"
"Ford","FORD/ECOSPORT (BUA/CBW)/BASICO","2020","AIRBAG RODILLA I.","GN1Z58045J76AB"
"Ford","FORD/ECOSPORT (BUA/CBW)/BASICO","2020","CUBO RUEDA DL.D.","GN1Z1104A"
"Ford","FORD/ECOSPORT (BUA/CBW)/BASICO","2020","FAROLA D.","GN1Z13008CW"
"Ford","FORD/ECOSPORT (BUA/CBW)/BASICO","2020","MODULO REGUL.AIRBAG","CN1514B321CF"
"Ford","FORD/ECOSPORT (BUA/CBW)/BASICO","2020","MOTOR CPL.","CD513AC"
"Ford","FORD/ECOSPORT (BUA/CBW)/BASICO","2020","PORTAMANGUETA DL.D.","GN1Z3K185A"
"Ford","FORD/ECOSPORT (BUA/CBW)/BASICO","2020","PUERTA DEL.D.","GN1Z7420124T"
"Ford","FORD/ECOSPORT (BUA/CBW)/BASICO","2020","ROTULA D.DIRECC.","GN1Z3A130B"
"Chevrolet","CHEVROLET/ONIX/JOY(BJ4)/LTZ","2018","SOP.GOMA SUP.I.","95265891"
"Chevrolet","CHEVROLET/ONIX/JOY(BJ4)/LTZ","2018","SOPORTE TRA.CAJA CAM","95493722"
"Chevrolet","CHEVROLET/TRACKER (RBJ)/BASICO","2018","BOC.PARAGOLPES DL.","42392736"
"Chevrolet","CHEVROLET/TRACKER (RBJ)/BASICO","2018","BOCEL GUARDAF.DEL.I.","42490924"
"Chevrolet","CHEVROLET/TRACKER (RBJ)/BASICO","2018","BOCEL PERSIANA","240318131430476"
"Chevrolet","CHEVROLET/TRACKER (RBJ)/BASICO","2018","FAROLA CPL.I.","42532762"
"Chevrolet","CHEVROLET/TRACKER (RBJ)/BASICO","2018","GUIA PARAGOLPE D IZQ","240318131430485"
"Chevrolet","CHEVROLET/TRACKER (RBJ)/BASICO","2018","PARAGOLPES DL.INF.","42540162"
"Chevrolet","CHEVROLET/TRACKER (RBJ)/BASICO","2018","PERSIANA INF.CPL.","42537706"
"Chevrolet","CHEVROLET/TRACKER (RBJ)/BASICO","2018","REC.LUZ ANTINIEBLA D","42532983"
"Chevrolet","CHEVROLET/TRACKER (RBJ)/BASICO","2018","REC.LUZ ANTINIEBLA I","42532984"
"Chevrolet","CHEVROLET/TRACKER (RBJ)/BASICO","2018","SPOILER DEL.","42540161"
"Chevrolet","CHEVROLET/SONIC KL/KM/MJ/1J/LT","2015","GUARDAFANGO DEL.D.","95473426"
"Chevrolet","CHEVROLET/CAPTIVA (AS1)/LTZ","2023","TOT FAROLA ANTI LH","240318122502627"
"Chevrolet","CHEVROLET/CAPTIVA (AS1)/LTZ","2023","BOCEL INF BOMP DL RH","240316104355292"
"Chevrolet","CHEVROLET/CAPTIVA (AS1)/LTZ","2023","GUARDAP.PLAST.DL.D.","23554733"
"Chevrolet","CHEVROLET/CAPTIVA (AS1)/LTZ","2023","JUEGOS PINES BOMP DL","240316104355319"
"Chevrolet","CHEVROLET/CAPTIVA (AS1)/LTZ","2023","PARAGOLPES DEL.","23643683"
"Chevrolet","CHEVROLET/ONIX/ONIX PLU(BE1)/ONIX PLUS PREMIER","2021","ABSORB.IMPACTO DEL.","26248153"
"Chevrolet","CHEVROLET/ONIX/ONIX PLU(BE1)/ONIX PLUS PREMIER","2021","BOCEL I.PARAGOLPES","26364105"
"Chevrolet","CHEVROLET/ONIX/ONIX PLU(BE1)/ONIX PLUS PREMIER","2021","CLIP BOMPER DEL X8","240315150349843"
"Chevrolet","CHEVROLET/ONIX/ONIX PLU(BE1)/ONIX PLUS PREMIER","2021","DEFLECTOR AIRE DEL.","26425083"
"Chevrolet","CHEVROLET/ONIX/ONIX PLU(BE1)/ONIX PLUS PREMIER","2021","FAROLA ANTINIEBLA I.","26244940"
"Chevrolet","CHEVROLET/ONIX/ONIX PLU(BE1)/ONIX PLUS PREMIER","2021","FAROLA I.","26309589"
"Chevrolet","CHEVROLET/ONIX/ONIX PLU(BE1)/ONIX PLUS PREMIER","2021","PARAGOLPES DEL.","26284578"
"Chevrolet","CHEVROLET/ONIX/ONIX PLU(BE1)/ONIX PLUS PREMIER","2021","PERSIANA CPL.","26290606"
"Chevrolet","CHEVROLET/ONIX/ONIX PLU(BE1)/ONIX PLUS PREMIER","2021","SOP.PARAGOLPES DEL.","26249923"
